time_boot_ms,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
105957.08,0,1,225774400,0,0,99.99,0,0,-17,0,0,0,0,1
106157.087,0,1,225774600,0,0,99.99,0,0,-17,0,0,0,0,1
106357.059,0,1,225774800,0,0,99.99,0,0,-17,0,0,0,0,1
106557.045,0,1,225775000,0,0,99.99,0,0,-17,0,0,0,0,1
106757.052,0,1,225775200,0,0,99.99,0,0,-17,0,0,0,0,1
106957.016,0,1,225775400,0,0,99.99,0,0,-17,0,0,0,0,1
107157.073,0,1,225775600,0,0,99.99,0,0,-17,0,0,0,0,1
107357.079,0,1,225775800,0,0,99.99,0,0,-17,0,0,0,0,1
107557.097,0,1,225776000,0,0,99.99,0,0,-17,0,0,0,0,1
107757.046,0,1,225776200,0,0,99.99,0,0,-17,0,0,0,0,1
107957.162,0,1,225776400,0,0,99.99,0,0,-17,0,0,0,0,1
108157.138,0,1,225776600,0,0,99.99,0,0,-17,0,0,0,0,1
108357.033,0,1,225776800,0,0,99.99,0,0,-17,0,0,0,0,1
108557.022,0,1,225777000,0,0,99.99,0,0,-17,0,0,0,0,1
108757.203,0,1,225777200,0,0,99.99,0,0,-17,0,0,0,0,1
108957.087,0,1,225777400,0,0,99.99,0,0,-17,0,0,0,0,1
109157.082,0,1,225777600,0,0,99.99,0,0,-17,0,0,0,0,1
109356.949,0,1,225777800,0,0,99.99,0,0,-17,0,0,0,0,1
109556.944,0,1,225778000,0,0,99.99,0,0,-17,0,0,0,0,1
109757.046,0,1,225778200,0,0,99.99,150836031,-338748624,1435.67,0,0,0,0,1
109957.074,0,1,225778400,0,0,99.99,150833939,-338746899,1435.63,0,0,0,0,1
110157.055,0,1,225778600,0,0,99.99,150831847,-338745174,1435.59,0,0,0,0,1
110357.087,0,1,225778800,0,0,99.99,150829756,-338743449,1435.55,0,0,0,0,1
110557.077,0,1,225779000,0,0,99.99,150827664,-338741725,1435.51,0,0,0,0,1
110757.045,0,1,225779200,0,0,99.99,150825572,-338740000,1435.47,0,0,0,0,1
110956.984,0,1,225779400,0,0,99.99,150823480,-338738275,1435.43,0,0,0,0,1
111156.95,0,1,225779600,0,0,99.99,150821388,-338736550,1435.4,0,0,0,0,1
111357.037,0,1,225779800,0,0,99.99,150819295,-338734825,1435.36,0,0,0,0,1
111557.066,0,1,225780000,0,0,99.99,150817203,-338733100,1435.32,0,0,0,0,1
111757.148,0,1,225780200,0,0,99.99,150815111,-338731376,1435.28,0,0,0,0,1
111957.086,0,1,225780400,0,0,99.99,150813019,-338729651,1435.24,0,0,0,0,1
112157.057,0,1,225780600,0,0,99.99,150810926,-338727926,1435.2,0,0,0,0,1
112357.058,0,1,225780800,0,0,99.99,150808834,-338726201,1435.16,0,0,0,0,1
112556.967,0,1,225781000,0,0,99.99,150806741,-338724476,1435.12,0,0,0,0,1
112756.986,0,1,225781200,0,0,99.99,151399238,-340819506,1446.59,0,0,0,0,1
112957.061,0,1,225781400,0,0,99.99,150802556,-338721027,1435.04,0,0,0,0,1
113157.051,0,1,225781600,0,0,99.99,150800464,-338719302,1435,0,0,0,0,1
113357.134,0,1,225781800,0,0,99.99,151393683,-340814260,1446.49,0,0,0,0,1
113557.145,0,1,225782000,0,0,99.99,151391831,-340812512,1446.45,0,0,0,0,1
113757.075,0,1,225782200,0,0,99.99,150794186,-338714128,1434.89,0,0,0,0,1
113957.021,0,1,225782400,0,0,99.99,150792093,-338712403,1434.85,0,0,0,0,1
114156.937,0,1,225782600,0,0,99.99,150790000,-338710679,1434.81,0,0,0,0,1
114357.043,0,1,225782800,0,0,99.99,150787907,-338708954,1434.77,0,0,0,0,1
114557.041,0,1,225783000,0,0,99.99,150785814,-338707229,1434.73,0,0,0,0,1
114757.11,0,1,225783200,0,0,99.99,150783721,-338705504,1434.69,0,0,0,0,1
114957.055,0,1,225783400,0,0,99.99,150781628,-338703780,1434.65,0,0,0,0,1
115157.069,0,1,225783600,0,0,99.99,150779535,-338702055,1434.61,0,0,0,0,1
115357.145,0,1,225783800,0,0,99.99,150777441,-338700330,1434.57,0,0,0,0,1
115557.152,0,1,225784000,0,0,99.99,150775348,-338698606,1434.53,0,0,0,0,1
115756.935,0,1,225784200,0,0,99.99,151411979,-340935574,1446.85,0,0,0,0,1
115957.059,0,1,225784400,0,0,99.99,151410143,-340933824,1446.82,0,0,0,0,1
116157.008,0,1,225784600,0,0,99.99,150769068,-338693432,1434.42,0,0,0,0,1
116357.034,0,1,225784800,0,0,99.99,151365900,-340788034,1445.96,0,0,0,0,1
116557.102,0,1,225785000,0,0,99.99,151404634,-340928574,1446.72,0,0,0,0,1
116757.066,0,1,225785200,0,0,99.99,151402798,-340926824,1446.68,0,0,0,0,1
116957.11,0,1,225785400,0,0,99.99,151400961,-340925074,1446.65,0,0,0,0,1
117157.086,0,1,225785600,0,0,99.99,151399125,-340923324,1446.61,0,0,0,0,1
117357.017,0,1,225785800,0,0,99.99,150923484,-339265531,1437.41,0,0,0,0,1
117557.001,0,1,225786000,0,0,99.99,151469372,-341178530,1447.98,0,0,0,0,1
117777.119,0,2,225786199,0,3,32,391844532,-768257357,128.64,0.25,0,0,0,1
117957.034,0,2,225786399,0,3,31.97,391848246,-768259851,128.66,0.3230000138282776,0,0,0,1
118157.052,0,2,225786600,0,3,31.94,391850086,-768261085,128.65,0.28600001335144043,0,0,0,1
118357.128,0,2,225786800,0,3,31.91,391851182,-768261822,128.65,0.07300000637769699,0,0,0,1
118556.97,0,2,225787000,0,3,31.88,391851913,-768262310,128.65,0.16300000250339508,0,0,0,1
118757.024,0,2,225787200,0,3,31.84,391852426,-768262657,128.66,0.021000001579523087,0,0,0,1
118957.027,0,2,225787400,0,3,31.81,391852819,-768262920,128.67,0.006000000052154064,0,0,0,1
119157.003,0,2,225787600,0,3,31.78,391853135,-768263129,128.7,0.08800000697374344,0,0,0,1
119357.051,0,2,225787800,0,3,31.74,391853389,-768263299,128.7,0.20600001513957977,0,0,0,1
119557.031,0,2,225788000,0,3,31.71,391853614,-768263451,128.72,0.0990000069141388,0,0,0,1
119757.059,0,2,225788200,0,3,31.68,391853787,-768263569,128.73,0.31700000166893005,0,0,0,1
119957.097,0,2,225788400,0,3,31.65,391853927,-768263663,128.72,0.18300001323223114,0,0,0,1
120157.007,0,2,225788600,0,3,31.61,391854086,-768263758,128.51,0.2200000137090683,0,0,0,1
120356.965,0,2,225788800,0,3,31.58,391854332,-768263862,127.11,0.22100001573562622,0,0,0,1
120556.969,0,2,225789000,0,3,31.55,391854579,-768264030,127.2,0.17600001394748688,0,0,0,1
120757.056,0,2,225789200,0,3,31.52,391854820,-768264174,126.9,0.22300000488758087,0,0,0,1
120957.025,0,2,225789400,0,3,31.48,391855083,-768264321,126.3,0.20600001513957977,0,0,0,1
121157.058,0,2,225789600,0,3,31.45,391855339,-768264500,126.57,0.15200001001358032,0,0,0,1
121357.214,0,2,225789800,0,3,31.42,391855567,-768264647,126.49,0.22600001096725464,0,0,0,1
121556.953,0,2,225790000,0,3,31.39,391855802,-768264791,126.3,0.25,0,0,0,1
121757.036,0,2,225790200,0,3,31.36,391856030,-768264936,126.12,0.2680000066757202,0,0,0,1
121956.985,0,2,225790400,0,3,31.32,391856264,-768265089,126.19,0.2120000123977661,0,0,0,1
122156.967,0,2,225790600,0,3,31.29,391856490,-768265228,125.89,0.22300000488758087,0,0,0,1
122357.087,0,2,225790800,0,3,31.26,391856711,-768265360,125.51,0.23900000751018524,0,0,0,1
122557.024,0,2,225791000,0,3,31.23,391856915,-768265488,125.26,0.30300000309944153,0,0,0,1
122757.048,0,2,225791200,0,3,31.2,391857130,-768265620,125.04,0.29500001668930054,0,0,0,1
122957.031,0,2,225791400,0,3,31.17,391857359,-768265742,124.41,0.24400001764297485,0,0,0,1
123157.074,0,2,225791600,0,3,31.13,391857567,-768265869,124.15,0.3110000193119049,0,0,0,1
123356.991,0,2,225791800,0,3,31.1,391857782,-768266019,124.36,0.28600001335144043,0,0,0,1
123556.917,0,2,225792000,0,3,31.07,391857993,-768266151,124.22,0.2880000174045563,0,0,0,1
123756.966,0,2,225792200,0,3,31.04,391858205,-768266295,124.4,0.2680000066757202,0,0,0,1
