time_boot_ms,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
127216.262,2,0,0,0,0,0,0.006354043725878,0,0,0,50,65671,512,2
127256.295,2,0,0,0,0,0,0.006383946165442467,0,0,0,50,65671,512,2
127296.257,2,0,0,0.02,0,0,0.006423456594347954,0,0,0,50,65671,512,2
127336.205,2,0,0,0.02,0,0,0.006373842712491751,0,0,0,50,65671,512,2
127376.229,2,0,0,0.02,0,0,0.006403041072189808,0,0,0,50,65671,512,2
127416.223,2,0,0,0.02,0,0,0.00635381368920207,0,0,0,50,65671,512,2
127456.259,2,0,0,0.02,0,0,0.006383347325026989,0,0,0,50,65671,512,2
127496.269,2,0,0,0.02,0,0,0.006423077546060085,0,0,0,50,65671,512,2
127536.268,2,0,0,0.02,0,0,0.006373759359121323,0,0,0,50,65671,512,2
127576.204,2,0,0,0.02,0,0,0.006403448525816202,0,0,0,50,65671,512,2
127616.248,2,0,0,0.02,0,0,0.006353634875267744,0,0,0,50,65671,512,2
127656.204,2,0,0,0.02,0,0,0.006383471190929413,0,0,0,50,65671,512,2
127696.26,2,0,0,0.03,0,0,0.006423052866011858,0,0,0,50,65671,512,2
127736.293,2,0,0,0.03,0,0,0.0063731432892382145,0,0,0,50,65671,512,2
127776.25,2,0,0,0.03,0,0,0.006402455735951662,0,0,0,50,65671,512,2
127816.204,2,0,0,0.01,0,0,0.006352969910949469,0,0,0,50,65671,512,2
127856.23,2,0,0,0.01,0,0,0.006382766645401716,0,0,0,50,65671,512,2
127896.266,2,0,0,0,0,0,0.006422174163162708,0,0,0,50,65671,512,2
127936.235,2,0,0,0,0,0,0.006372003350406885,0,0,0,50,65671,512,2
127976.279,2,0,0,0,0,0,0.006401930935680866,0,0,0,50,65671,512,2
128016.216,2,0,0,0.02,0,0,0.006352663040161133,0,0,0,50,65671,512,2
128056.244,2,0,0,0.02,0,0,0.006382161285728216,0,0,0,50,65671,512,2
128096.234,2,0,0,0,0,0,0.006421298254281282,0,0,0,50,65671,512,2
128136.277,2,0,0,0,0,0,0.006371869705617428,0,0,0,50,65671,512,2
128176.273,2,0,0,0,0,0,0.006401607301086187,0,0,0,50,65671,512,2
128216.289,2,0,0,0.01,0,0,0.006352038122713566,0,0,0,50,65671,512,2
128256.201,2,0,0,0.01,0,0,0.0063815852627158165,0,0,0,50,65671,512,2
128296.252,2,0,0,0,0,0,0.006421147845685482,0,0,0,50,65671,512,2
128336.23,2,0,0,0,0,0,0.006371800322085619,0,0,0,50,65671,512,2
128376.262,2,0,0,0,0,0,0.006401382386684418,0,0,0,50,65671,512,2
128416.262,2,0,0,0.02,0,0,0.006351737771183252,0,0,0,50,65671,512,2
128456.28,2,0,0,0.02,0,0,0.006381132174283266,0,0,0,50,65671,512,2
128496.201,2,0,0,0,0,0,0.00642015365883708,0,0,0,50,65671,512,2
128536.234,2,0,0,0,0,0,0.006370941177010536,0,0,0,50,65671,512,2
128576.297,2,0,0,0,0,0,0.006401026621460915,0,0,0,50,65671,512,2
128616.242,2,0,0,0.01,0,0,0.006350988522171974,0,0,0,50,65671,512,2
128656.275,2,0,0,0.01,0,0,0.006380631122738123,0,0,0,50,65671,512,2
128696.273,2,0,0,0,0,0,0.006420131307095289,0,0,0,50,65671,512,2
128736.204,2,0,0,0,0,0,0.006370944436639547,0,0,0,50,65671,512,2
128776.244,2,0,0,0,0,0,0.006400866899639368,0,0,0,50,65671,512,2
128816.269,2,0,0,0,0,0,0.006350802257657051,0,0,0,50,65671,512,2
128856.275,2,0,0,0,0,0,0.006380574312061071,0,0,0,50,65671,512,2
128896.269,2,0,0,0.01,0,0,0.0064200893975794315,0,0,0,50,65671,512,2
128936.246,2,0,0,0.01,0,0,0.006370655260980129,0,0,0,50,65671,512,2
128976.231,2,0,0,0.01,0,0,0.006399836391210556,0,0,0,50,65671,512,2
129016.225,2,0,0,0,0,0,0.006350443232804537,0,0,0,50,65671,512,2
129056.264,2,0,0,0,0,0,0.0063802399672567844,0,0,0,50,65671,512,2
129096.275,2,0,0,0.02,0,0,0.006419447250664234,0,0,0,50,65671,512,2
129136.259,2,0,0,0.02,0,0,0.006370177026838064,0,0,0,50,65671,512,2
129176.206,2,0,0,0.02,0,0,0.006399533711373806,0,0,0,50,65671,512,2
129216.234,2,0,0,0.02,0,0,0.006350040901452303,0,0,0,50,65671,512,2
129256.245,2,0,0,0.02,0,0,0.006379831116646528,0,0,0,50,65671,512,2
129296.258,2,0,0,0.01,0,0,0.0064195627346634865,0,0,0,50,65671,512,2
129336.279,2,0,0,0.01,0,0,0.00636953255161643,0,0,0,50,65671,512,2
129376.245,2,0,0,0.01,0,0,0.006399398669600487,0,0,0,50,65671,512,2
129416.203,2,0,0,0,0,0,0.0063500553369522095,0,0,0,50,65671,512,2
129456.229,2,0,0,0,0,0,0.006379970349371433,0,0,0,50,65671,512,2
129496.264,2,0,0,0.02,0,0,0.006419463083148003,0,0,0,50,65671,512,2
129536.24,2,0,0,0.02,0,0,0.006369817536324263,0,0,0,50,65671,512,2
129576.322,2,0,0,0.02,0,0,0.00639964547008276,0,0,0,50,65671,512,2
129616.229,2,0,0,0.01,0,0,0.0063501750119030476,0,0,0,50,65671,512,2
129656.199,2,0,0,0.01,0,0,0.006379632744938135,0,0,0,50,65671,512,2
129696.23,2,0,0,0.01,0,0,0.006418904755264521,0,0,0,50,65671,512,2
129736.269,2,0,0,0.01,0,0,0.006369645707309246,0,0,0,50,65671,512,2
129776.274,2,0,0,0.01,0,0,0.006399406120181084,0,0,0,50,65671,512,2
129816.271,2,0,0,0,0,0,0.006350147072225809,0,0,0,50,65671,512,2
129856.216,2,0,0,0,0,0,0.006379412021487951,0,0,0,50,65671,512,2
129896.225,2,0,0,0.01,0,0,0.006418953184038401,0,0,0,50,65671,512,2
129936.24,2,0,0,0.01,0,0,0.006369442213326693,0,0,0,50,65671,512,2
129976.261,2,0,0,0.01,0,0,0.006399158388376236,0,0,0,50,65671,512,2
