time_boot_ms,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
212816.978,391848219,-768259270,123.87999725341797,123.87999725341797,
212856.914,391848219,-768259270,123.87999725341797,123.87999725341797,
212897.343,391848219,-768259270,123.87999725341797,123.87999725341797,
212937.539,391848219,-768259270,123.87999725341797,123.87999725341797,
212977.479,391848218,-768259276,123.82999420166016,123.82999420166016,
213017.015,391848218,-768259276,123.82999420166016,123.82999420166016,
213056.948,391848218,-768259276,123.82999420166016,123.82999420166016,
213097.428,391848218,-768259276,123.82999420166016,123.82999420166016,
213137.436,391848218,-768259276,123.82999420166016,123.82999420166016,
213177.35,391848216,-768259283,123.7699966430664,123.7699966430664,
213216.95,391848216,-768259283,123.7699966430664,123.7699966430664,
213257.011,391848216,-768259283,123.7699966430664,123.7699966430664,
213297.425,391848216,-768259283,123.7699966430664,123.7699966430664,
213337.631,391848216,-768259283,123.7699966430664,123.7699966430664,
213377.387,391848221,-768259286,123.7699966430664,123.7699966430664,
213416.943,391848221,-768259286,123.7699966430664,123.7699966430664,
213457.065,391848221,-768259286,123.7699966430664,123.7699966430664,
213497.452,391848221,-768259286,123.7699966430664,123.7699966430664,
213537.629,391848221,-768259286,123.7699966430664,123.7699966430664,
213577.352,391848215,-768259296,123.69999694824219,123.69999694824219,
213616.887,391848215,-768259296,123.69999694824219,123.69999694824219,
213656.946,391848215,-768259296,123.69999694824219,123.69999694824219,
213697.461,391848215,-768259296,123.69999694824219,123.69999694824219,
213737.499,391848215,-768259296,123.69999694824219,123.69999694824219,
213777.444,391848230,-768259289,123.7699966430664,123.7699966430664,
213816.947,391848230,-768259289,123.7699966430664,123.7699966430664,
213856.923,391848230,-768259289,123.7699966430664,123.7699966430664,
213897.459,391848230,-768259289,123.7699966430664,123.7699966430664,
213937.503,391848230,-768259289,123.7699966430664,123.7699966430664,
213977.508,391848239,-768259289,123.77999877929688,123.77999877929688,
214016.895,391848239,-768259289,123.77999877929688,123.77999877929688,
214056.924,391848239,-768259289,123.77999877929688,123.77999877929688,
214097.363,391848239,-768259289,123.77999877929688,123.77999877929688,
214137.629,391848239,-768259289,123.77999877929688,123.77999877929688,
214177.632,391848246,-768259289,123.79999542236328,123.79999542236328,
214216.929,391848246,-768259289,123.79999542236328,123.79999542236328,
214256.938,391848246,-768259289,123.79999542236328,123.79999542236328,
214297.381,391848246,-768259289,123.79999542236328,123.79999542236328,
214337.568,391848246,-768259289,123.79999542236328,123.79999542236328,
214377.468,391848254,-768259289,123.81999969482422,123.81999969482422,
214416.967,391848254,-768259289,123.81999969482422,123.81999969482422,
214456.926,391848254,-768259289,123.81999969482422,123.81999969482422,
214497.338,391848254,-768259289,123.81999969482422,123.81999969482422,
214537.554,391848254,-768259289,123.81999969482422,123.81999969482422,
214577.425,391848264,-768259285,123.8699951171875,123.8699951171875,
214616.981,391848264,-768259285,123.8699951171875,123.8699951171875,
214656.96,391848264,-768259285,123.8699951171875,123.8699951171875,
