time_boot_ms,C,Q1,Q2,Q3,Q4
91536.236,1,0.9999843835830688,-0.0008786722319200635,0.0055142720229923725,-0.00028980462229810655
91576.205,1,0.9999843835830688,-0.0008704802021384239,0.005515814293175936,-0.0002931930066552013
91616.229,1,0.9999843239784241,-0.0008637552382424474,0.005525720771402121,-0.000290262745693326
91656.264,1,0.9999842047691345,-0.0008923275163397193,0.005537942051887512,-0.0002580138389021158
91696.248,1,0.9999842643737793,-0.0008862452814355493,0.005530487280339003,-0.00024311292509082705
91736.271,1,0.9999844431877136,-0.0008988273912109435,0.005505280569195747,-0.00022790829825680703
91776.257,1,0.9999844431877136,-0.0009206070099025965,0.005497364792972803,-0.00023325931397266686
91816.23,1,0.9999843835830688,-0.0009281675447709858,0.005507485941052437,-0.0002361708611715585
91856.242,1,0.9999842643737793,-0.0009189721895381808,0.005524322856217623,-0.0002301979111507535
91896.26,1,0.9999843239784241,-0.000915209879167378,0.005523893516510725,-0.000222838090849109
91936.249,1,0.9999843835830688,-0.0009319943492300808,0.005511913914233446,-0.0002004706475418061
91976.263,1,0.9999844431877136,-0.0009494717232882977,0.005488345865160227,-0.00020100848632864654
92016.21,1,0.9999843835830688,-0.0009415530948899686,0.005499663762748241,-0.00020931630569975823
92056.242,1,0.9999843239784241,-0.0009474409162066877,0.005515828728675842,-0.00021085016487631947
92096.218,1,0.9999842643737793,-0.0009527720976620913,0.005529224872589111,-0.0002111688518198207
92136.266,1,0.9999842643737793,-0.0009449198842048645,0.0055220178328454494,-0.00019295053789392114
92176.232,1,0.9999843835830688,-0.0009599172626622021,0.005507024470716715,-0.00017204182222485542
92216.258,1,0.9999842047691345,-0.0009698978974483907,0.0055329324677586555,-0.00016611527826171368
92256.202,1,0.9999842047691345,-0.0009801355190575123,0.005535433534532785,-0.00015915078984107822
92296.243,1,0.9999842047691345,-0.0009851229842752218,0.005533395800739527,-0.0001574272901052609
92336.244,1,0.999984085559845,-0.0010130238952115178,0.0055470275692641735,-0.0001364180789096281
92376.228,1,0.9999839663505554,-0.0010202548000961542,0.005570257548242807,-0.00013998527720104903
92416.284,1,0.9999840259552002,-0.0010246355086565018,0.005551425274461508,-0.00015006714966148138
92456.236,1,0.999984085559845,-0.0010433349525555968,0.005538878962397575,-0.00014558287512045354
92496.199,1,0.999984085559845,-0.0010529764695093036,0.005544411484152079,-0.00012886954937130213
92536.23,1,0.999984085559845,-0.0010368404909968376,0.005540015641599894,-0.00012512161629274487
92576.268,1,0.9999843239784241,-0.0010525442194193602,0.005500531755387783,-0.00013112809392623603
92616.27,1,0.9999843835830688,-0.001060820883139968,0.005488933064043522,-0.00012952501128893346
92656.287,1,0.9999843835830688,-0.0010904291411861777,0.005482484586536884,-0.00013121547817718238
