time_boot_ms,Roll,Pitch,Yaw,Alt,Lat,Lng,Q1,Q2,Q3,Q4
159937.405,-0.62,-0.46,0.31,-0.8100000023841858,391844020,-768256730,0.9999732971191406,-0.005425346549600363,-0.004096498247236013,0.0026755589060485363
159977.209,-0.62,-0.46,0.31,-0.8100000023841858,391844020,-768256730,0.9999732971191406,-0.0054259272292256355,-0.004094440024346113,0.002680179663002491
160017.123,-0.62,-0.46,0.31,-0.8100000023841858,391844020,-768256730,0.9999732971191406,-0.005429433658719063,-0.0040929196402430534,0.002680358709767461
160056.945,-0.62,-0.46,0.31,-0.47999998927116394,391844020,-768256730,0.9999732971191406,-0.005431125406175852,-0.004090085159987211,0.0026781572960317135
160097.409,-0.62,-0.46,0.31,-0.47999998927116394,391844020,-768256730,0.9999732971191406,-0.005428866017609835,-0.004094728268682957,0.00267475051805377
160137.492,-0.62,-0.46,0.31,-0.8499999642372131,391844020,-768256734,0.9999732971191406,-0.00543056009337306,-0.00409706449136138,0.0026701786555349827
160177.198,-0.62,-0.46,0.31,-0.8499999642372131,391844020,-768256734,0.9999732375144958,-0.00543632498010993,-0.004099916201084852,0.002670652698725462
160217.189,-0.62,-0.46,0.3,-0.8499999642372131,391844020,-768256734,0.9999732971191406,-0.0054324110969901085,-0.004089509602636099,0.0026693325489759445
160257.097,-0.62,-0.46,0.3,-0.5600000023841858,391844020,-768256734,0.9999733567237854,-0.005427957978099585,-0.0040834033861756325,0.002669446635991335
160297.468,-0.62,-0.46,0.3,-0.5600000023841858,391844020,-768256734,0.9999733567237854,-0.0054321689531207085,-0.0040808673948049545,0.002668981207534671
160337.469,-0.62,-0.46,0.31,-0.5600000023841858,391844011,-768256734,0.9999733567237854,-0.005431458353996277,-0.004076468758285046,0.0026764848735183477
160377.077,-0.62,-0.46,0.31,-0.5600000023841858,391844011,-768256734,0.9999733567237854,-0.005428388714790344,-0.004075468983501196,0.0026709497906267643
160417.367,-0.62,-0.46,0.3,-0.5600000023841858,391844011,-768256734,0.9999733567237854,-0.005430029239505529,-0.004071478731930256,0.0026675648987293243
160456.935,-0.62,-0.46,0.3,-0.7400000095367432,391844011,-768256734,0.9999733567237854,-0.005430174525827169,-0.004074330907315016,0.0026670789811760187
160497.501,-0.62,-0.46,0.3,-0.7400000095367432,391844011,-768256734,0.9999733567237854,-0.005433495622128248,-0.004072049632668495,0.002666337415575981
160537.598,-0.62,-0.46,0.3,-0.6299999952316284,391844007,-768256738,0.9999733567237854,-0.0054320963099598885,-0.004071464296430349,0.002664114348590374
